Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Madre de Dios,0,1/2/2019,0,0,0,0
Moquegua,3,1/2/2019,97,1287.7890000000002,13276.17525773196,1.228543262910306
Pasco,0,1/2/2019,675,12735.7,18867.703703703704,0.807060860415996
Piura,123,1/2/2019,105,1195,11380.952380952382,0.7
Puno,0,1/2/2019,631,9650,15293.185419968306,1.632455958549223
San Martín,0,1/2/2019,0,0,0,0
Tacna,0,1/2/2019,58,1019,17568.96551724138,1.435721295387635
Tumbes,0,1/2/2019,0,0,0,0
Ucayali,0,1/2/2019,0,0,0,0
Nacional,4539,1/3/2022,34321,569530.1680000001,16594.218350281168,1.2822068997054428
Amazonas,741,1/3/2022,332,5895.95,17758.885542168675,1.4869164426428314
Áncash,82,1/3/2022,2374,30377.3,12795.829823083404,1.2856389475035634
Apurímac,31,1/3/2022,1419,28975.75,20419.837914023963,1.086589648240339
Arequipa,368,1/3/2022,343,11273.824999999995,32868.29446064139,1.293205921681417
Ayacucho,0,1/3/2022,2986,54403,18219.356999330208,0.9745572854438175
Cajamarca,1554,1/3/2022,3856,53717.609000000004,13930.915197095437,1.6492682743939704
Callao,0,1/3/2022,0,0,0,0
Cusco,30,1/3/2022,3116,49246.380000000005,15804.358151476252,1.0967362068034239
Huancavelica,132,1/3/2022,1668,25085.499999999996,15039.268585131893,1.0421964880110022
Huánuco,863,1/3/2022,4987,71410,14319.229997994787,0.9906713345469824
Ica,228,1/3/2022,21,197.53,9406.190476190475,1
Junín,99,1/3/2022,2411,46067.400000000016,19107.17544587309,1.0003111527891735
La Libertad,9,1/3/2022,3783.5,80086.09999999999,21167.199682833354,1.3743872282456002
Lambayeque,0,1/3/2022,20,100,5000,0.82
Lima,24,1/3/2022,212,2835.8,13376.415094339623,1.0693102475491925
Lima Metropolitana,0,1/3/2022,0,0,0,0
Loreto,0,1/3/2022,0,0,0,0
papare de Dios,0,1/3/2022,0,0,0,0
Moquegua,6,1/3/2022,183,2239.217,12236.158469945356,1.9586107107975688
Pasco,240,1/3/2022,910.5,16822.107,18475.68039538715,0.8858058654602542
Piura,123,1/3/2022,113,1348,11929.20353982301,1.0163204747774481
Puno,0,1/3/2022,5437,86336.7,15879.473974618355,1.82487540061179
San Martín,0,1/3/2022,0,0,0,0
Tacna,9,1/3/2022,149,3112,20885.906040268455,1.9875
Tumbes,0,1/3/2022,0,0,0,0
Ucayali,0,1/3/2022,0,0,0,0
Nacional,4819,1/3/2021,30509.4,481558.02900000004,15783.923282660424,0.9038187604385263
Amazonas,658,1/3/2021,323,5857.9,18135.913312693498,0.7538928626299528
Áncash,6,1/3/2021,2071,25413.1,12270.931916948333,0.8155687421054492
Apurímac,0,1/3/2021,1160,21612,18631.034482758623,0.7518790486766611
Arequipa,638,1/3/2021,357,10468.562000000002,29323.7030812325,0.8381613730711057
Ayacucho,9,1/3/2021,2260,38019,16822.566371681416,0.7599950024987504
Cajamarca,1489,1/3/2021,4063,57228.990000000005,14085.402412010832,0.7097926330693588
Callao,0,1/3/2021,0,0,0,0
Cusco,0,1/3/2021,1812,27268,15048.565121412803,1.1322905970368198
Huancavelica,145,1/3/2021,1555,21325.75,13714.308681672026,0.6360336682179991
Huánuco,894.5,1/3/2021,4605.25,62635,13600.78171651919,0.8823238604614031
Ica,468.5,1/3/2021,17,169.3,9958.823529411764,1
Junín,90,1/3/2021,2815,51401.000000000015,18259.680284191832,0.6326314079492615
La Libertad,8,1/3/2021,2889.5,64996,22493.85706869701,0.707285371407471
Lambayeque,0,1/3/2021,37,207,5594.594594594595,0.8579710144927537
Lima,0,1/3/2021,205,1712.5,8353.658536585366,1.0819503649635036
Lima Metropolitana,0,1/3/2021,0,0,0,0
Loreto,0,1/3/2021,0,0,0,0
papare de Dios,0,1/3/2021,0,0,0,0
Moquegua,1,1/3/2021,131,1613.4389999999999,12316.32824427481,0.937547592440743
Pasco,180,1/3/2021,1015.65,16917.188,16656.513562743068,0.604729296618327
Piura,211,1/3/2021,112,1150,10267.857142857143,0.7
Puno,0,1/3/2021,4937,70500.3,14279.98784687057,1.6765972627066834
San Martín,0,1/3/2021,0,0,0,0
Tacna,21,1/3/2021,144,3063,21270.833333333332,1.4428338230492979
Tumbes,0,1/3/2021,0,0,0,0
Ucayali,0,1/3/2021,0,0,0,0
Nacional,4147.5,1/3/2020,34763,557055.6100000001,16024.382533153066,0.8637879610798641
Amazonas,436,1/3/2020,367,6776.200000000001,18463.760217983654,1.3578310852690294
Áncash,5,1/3/2020,1700,19977.300000000003,11751.352941176472,0.8918387369664568
Apurímac,13,1/3/2020,420.5,8224,19557.669441141497,0.7151507782101166
Arequipa,725,1/3/2020,460,14750.360000000002,32066.000000000004,0.6359463124967796
Ayacucho,0,1/3/2020,5720,108070,18893.356643356645,0.6128601832145829
Cajamarca,1112,1/3/2020,3401,50442.59100000001,14831.693913554838,0.7728443077002128
Callao,0,1/3/2020,0,0,0,0
Cusco,0,1/3/2020,2076,31321.5,15087.42774566474,1.1371845218140895
Huancavelica,169,1/3/2020,2854,35793.5,12541.520672740013,0.5694247558914329
Huánuco,791,1/3/2020,4478,58178,12991.960696739616,0.722417924301282
Ica,469.5,1/3/2020,17,169.20000000000002,9952.94117647059,1.2000000000000002
Junín,91,1/3/2020,3057,50819.99999999999,16624.141315014716,0.5037824872097597
La Libertad,129,1/3/2020,3380,69129.90000000001,20452.633136094675,0.8845550622812991
Lambayeque,0,1/3/2020,5,35,7000,0.7
Lima,2,1/3/2020,165.5,1465.489,8854.91842900302,1.0221203980377882
Lima Metropolitana,0,1/3/2020,1,28.2,28200,0.5
Loreto,0,1/3/2020,0,0,0,0
papare de Dios,0,1/3/2020,0,0,0,0
