Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Tacna,237,1/2/2020,219,10015,45730.593607305935,0.2885621567648527
Tumbes,0,1/2/2020,0,0,0,0
Ucayali,0,1/2/2020,0,0,0,0
Nacional,3369.5,1/2/2019,2875.5,148006.37,51471.524952182226,0.15173793533345895
Amazonas,0,1/2/2019,0,0,0,0
Áncash,18,1/2/2019,33,626,18969.696969696968,0.26313099041533544
Apurímac,0,1/2/2019,0,0,0,0
Arequipa,1367,1/2/2019,1243,71186.68,57270.05631536604,0.13804802246712447
Ayacucho,0,1/2/2019,0,0,0,0
Cajamarca,0,1/2/2019,0,0,0,0
Callao,0,1/2/2019,0,0,0,0
Cusco,0,1/2/2019,0,0,0,0
Huancavelica,0,1/2/2019,0,0,0,0
Huánuco,34,1/2/2019,32,705,22031.25,0.19175886524822694
Ica,0,1/2/2019,0,0,0,0
Junín,0,1/2/2019,0,0,0,0
La Libertad,333.5,1/2/2019,242.5,14406,59406.18556701031,0.14659030959322503
Lambayeque,300,1/2/2019,65,2639,40600,0.1550132625994695
Lima,876,1/2/2019,928,43485.85,46859.75215517241,0.14703381674728674
Lima Metropolitana,196,1/2/2019,109,3915.5800000000004,35922.752293577985,0.11272330025181451
Loreto,0,1/2/2019,0,0,0,0
Madre de Dios,0,1/2/2019,0,0,0,0
Moquegua,1,1/2/2019,11,668.26,60750.90909090909,0.05000000000000001
Pasco,0,1/2/2019,0,0,0,0
Piura,0,1/2/2019,0,0,0,0
Puno,0,1/2/2019,0,0,0,0
San Martín,0,1/2/2019,0,0,0,0
Tacna,244,1/2/2019,212,10374,48933.96226415094,0.28355022170811645
Tumbes,0,1/2/2019,0,0,0,0
Ucayali,0,1/2/2019,0,0,0,0
Nacional,3077,1/3/2022,3235.5,166782.623,51547.7122546747,0.18039183764366146
Amazonas,0,1/3/2022,0,0,0,0
Áncash,60,1/3/2022,49,1035,21122.448979591838,0.6186086956521739
Apurímac,0,1/3/2022,0,0,0,0
Arequipa,1366,1/3/2022,1438,84453.12299999999,58729.57093184978,0.1542254020612121
Ayacucho,0,1/3/2022,0,0,0,0
Cajamarca,53,1/3/2022,54,385,7129.62962962963,0.9181818181818182
Callao,0,1/3/2022,0,0,0,0
Cusco,0,1/3/2022,0,0,0,0
Huancavelica,0,1/3/2022,0,0,0,0
Huánuco,23,1/3/2022,57,1299,22789.473684210527,0.21148575827559662
Ica,0,1/3/2022,0,0,0,0
Junín,0,1/3/2022,0,0,0,0
La Libertad,289,1/3/2022,334.5,17351.5,51872.9446935725,0.18340546926778664
Lambayeque,162,1/3/2022,155,4720,30451.612903225807,0.2523728813559322
Lima,816,1/3/2022,890,46685.6,52455.73033707865,0.16217088352725467
Lima Metropolitana,88,1/3/2022,62,1980.4,31941.93548387097,0.1393516461320945
Loreto,0,1/3/2022,0,0,0,0
Moquegua,13,1/3/2022,18,1217,67611.11111111111,0.05
Pasco,0,1/3/2022,0,0,0,0
Piura,0,1/3/2022,0,0,0,0
Puno,0,1/3/2022,0,0,0,0
San Martín,0,1/3/2022,0,0,0,0
Tacna,207,1/3/2022,178,7656,43011.23595505618,0.4586598746081505
Tumbes,0,1/3/2022,0,0,0,0
Ucayali,0,1/3/2022,0,0,0,0
Nacional,3291,1/3/2021,3022.5,154434.11199999996,51094.82613730354,0.15592169487787777
Amazonas,0,1/3/2021,0,0,0,0
Áncash,49,1/3/2021,45,928,20622.222222222223,0.5408405172413793
Apurímac,0,1/3/2021,0,0,0,0
Arequipa,1495,1/3/2021,1457,83774.95199999999,57498.251201098145,0.13833006421776287
Ayacucho,0,1/3/2021,0,0,0,0
Cajamarca,12,1/3/2021,65,413,6353.846153846153,0.8774818401937046
Callao,0,1/3/2021,0,0,0,0
Cusco,0,1/3/2021,0,0,0,0
Huancavelica,0,1/3/2021,0,0,0,0
Huánuco,19,1/3/2021,48,1115,23229.166666666668,0.19159641255605384
Ica,0,1/3/2021,0,0,0,0
Junín,0,1/3/2021,0,0,0,0
La Libertad,239.5,1/3/2021,243.5,12937,53129.36344969199,0.19235526010667078
Lambayeque,186,1/3/2021,124,3800,30645.16129032258,0.2
Lima,937.5,1/3/2021,797,41019.4,51467.25219573401,0.13780011409235626
Lima Metropolitana,114,1/3/2021,56,2009.8999999999999,35891.07142857143,0.11755958007861089
Loreto,0,1/3/2021,0,0,0,0
Moquegua,11,1/3/2021,17,1020.86,60050.58823529412,0.05
Pasco,0,1/3/2021,0,0,0,0
Piura,0,1/3/2021,0,0,0,0
Puno,0,1/3/2021,0,0,0,0
San Martín,0,1/3/2021,0,0,0,0
Tacna,228,1/3/2021,170,7416,43623.529411764706,0.30000000000000004
Tumbes,0,1/3/2021,0,0,0,0
Ucayali,0,1/3/2021,0,0,0,0
Nacional,2871,1/3/2020,3044,151482.11899999998,49764.16524310118,0.15812098278081257
Amazonas,0,1/3/2020,0,0,0,0
Áncash,54,1/3/2020,58,1187,20465.517241379308,0.36
Apurímac,0,1/3/2020,0,0,0,0
Arequipa,1412,1/3/2020,1296,80560.769,62161.08719135803,0.14670111366489066
Ayacucho,0,1/3/2020,0,0,0,0
Cajamarca,11,1/3/2020,39,285,7307.692307692308,0.9368421052631579
Callao,0,1/3/2020,0,0,0,0
Cusco,0,1/3/2020,0,0,0,0
Huancavelica,0,1/3/2020,0,0,0,0
Huánuco,18,1/3/2020,45,1030,22888.88888888889,0.18937864077669903
Ica,0,1/3/2020,0,0,0,0
Junín,0,1/3/2020,0,0,0,0
La Libertad,235,1/3/2020,229,12788,55842.79475982532,0.1584368157647795
Lambayeque,2,1/3/2020,141,4309,30560.28368794326,0.1793548387096774
Lima,802,1/3/2020,940,37415.2,39803.40425531915,0.1343945241506126
Lima Metropolitana,112,1/3/2020,76,2707.05,35619.07894736842,0.10695886666297261
Loreto,0,1/3/2020,0,0,0,0
