Región,meses,cosecha,produccion,rendimiento,precio,year
Cajamarca,Jul,1890.0,15183.43,8033.560846560846,1.0569683530006064,2019
Callao,Jul,0.0,0.0,0.0,0.0,2019
Cusco,Jul,0.0,0.0,0.0,0.0,2019
Huancavelica,Jul,0.0,0.0,0.0,0.0,2019
Huánuco,Jul,615.0,3450.0,5609.756097560975,0.7618782608695652,2019
Ica,Jul,0.0,0.0,0.0,0.0,2019
Junín,Jul,44.0,143.7,3265.9090909090905,0.9624217118997914,2019
La Libertad,Jul,80.0,683.0,8537.5,1.06,2019
Lambayeque,Jul,4918.0,37326.0,7589.670597803985,1.018400578685099,2019
Lima,Jul,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Jul,0.0,0.0,0.0,0.0,2019
Loreto,Jul,1172.0,3464.0,2955.6313993174062,0.6671824480369516,2019
Madre de Dios,Jul,50.0,314.0,6280.0,1.4296178343949044,2019
Moquegua,Jul,0.0,0.0,0.0,0.0,2019
Pasco,Jul,154.0,231.0,1500.0,1.0,2019
Piura,Jul,15550.0,116131.0,7468.231511254019,1.0061215351628763,2019
Puno,Jul,0.0,0.0,0.0,0.0,2019
San Martín,Jul,9746.5,72387.25,7426.999435694865,0.786263741197517,2019
Tacna,Jul,0.0,0.0,0.0,0.0,2019
Tumbes,Jul,3505.3,29333.190000000002,8368.239523008016,1.0580436495314693,2019
Ucayali,Jul,2011.0,9707.36,4827.130780706117,0.7197542483229218,2019
Amazonas,Ago,4206.0,37337.608,8877.224916785546,0.8391779411793066,2019
Áncash,Ago,0.0,0.0,0.0,0.0,2019
Apurímac,Ago,0.0,0.0,0.0,0.0,2019
Arequipa,Ago,0.0,0.0,0.0,0.0,2019
Ayacucho,Ago,0.0,0.0,0.0,0.0,2019
Cajamarca,Ago,824.5,6776.718999999999,8219.186173438446,1.0955557696873666,2019
Callao,Ago,0.0,0.0,0.0,0.0,2019
Cusco,Ago,0.0,0.0,0.0,0.0,2019
Huancavelica,Ago,0.0,0.0,0.0,0.0,2019
Huánuco,Ago,739.0,4558.0,6167.794316644114,0.7713492759982449,2019
Ica,Ago,0.0,0.0,0.0,0.0,2019
Junín,Ago,16.0,44.8,2800.0,0.9,2019
La Libertad,Ago,29.0,241.0,8310.344827586207,1.0919087136929462,2019
Lambayeque,Ago,0.0,0.0,0.0,0.0,2019
Lima,Ago,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Ago,0.0,0.0,0.0,0.0,2019
Loreto,Ago,2494.0,6847.0,2745.388933440257,0.6083116693442384,2019
Madre de Dios,Ago,48.0,294.0,6125.0,1.3880952380952383,2019
Moquegua,Ago,0.0,0.0,0.0,0.0,2019
Pasco,Ago,96.0,147.5,1536.4583333333333,1.0,2019
Piura,Ago,0.0,0.0,0.0,0.0,2019
Puno,Ago,0.0,0.0,0.0,0.0,2019
San Martín,Ago,7833.0,58205.0,7430.741733690796,0.878338372992011,2019
Tacna,Ago,0.0,0.0,0.0,0.0,2019
Tumbes,Ago,10.0,80.0,8000.0,1.1,2019
Ucayali,Ago,2121.0,10132.866000000002,4777.400282885433,0.6977243555771879,2019
Amazonas,Set,5110.0,45867.10999999999,8975.951076320938,0.9993263909585759,2019
Áncash,Set,0.0,0.0,0.0,0.0,2019
Apurímac,Set,0.0,0.0,0.0,0.0,2019
Arequipa,Set,0.0,0.0,0.0,0.0,2019
Ayacucho,Set,0.0,0.0,0.0,0.0,2019
Cajamarca,Set,1561.6,12301.645,7877.590292008198,0.9477567837472142,2019
Callao,Set,0.0,0.0,0.0,0.0,2019
Cusco,Set,0.0,0.0,0.0,0.0,2019
Huancavelica,Set,0.0,0.0,0.0,0.0,2019
Huánuco,Set,491.0,2795.0,5692.464358452138,0.8222182468694096,2019
Ica,Set,0.0,0.0,0.0,0.0,2019
Junín,Set,30.0,81.0,2700.0,0.88,2019
La Libertad,Set,0.0,0.0,0.0,0.0,2019
Lambayeque,Set,0.0,0.0,0.0,0.0,2019
Lima,Set,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Set,0.0,0.0,0.0,0.0,2019
Loreto,Set,6339.0,18306.0,2887.8371982962612,0.613645252922539,2019
Madre de Dios,Set,65.0,395.0,6076.923076923076,1.4,2019
Moquegua,Set,0.0,0.0,0.0,0.0,2019
Pasco,Set,0.0,0.0,0.0,0.0,2019
Piura,Set,0.0,0.0,0.0,0.0,2019
Puno,Set,0.0,0.0,0.0,0.0,2019
San Martín,Set,7450.0,54415.0,7304.026845637584,0.949984287420748,2019
Tacna,Set,0.0,0.0,0.0,0.0,2019
Tumbes,Set,0.0,0.0,0.0,0.0,2019
Ucayali,Set,2326.0,10945.189000000002,4705.584264832331,0.762588339041016,2019
