Región,meses,cosecha,year,produccion,rendimiento
Huancavelica,Mar,4.625930343237881,2021,,
Huánuco,Mar,2.28504347826087,2021,,
Ica,Mar,6.374933608683585,2021,,
Junín,Mar,1.0523290054878864,2021,,
La Libertad,Mar,3.05676028705395,2021,,
Lambayeque,Mar,4.746835937499999,2021,,
Lima,Mar,4.278514901498568,2021,,
Lima Metropolitana,Mar,2.622752666328085,2021,,
Loreto,Mar,0.48662269129287594,2021,,
higore de Dios,Mar,0.0,2021,,
Moquegua,Mar,4.822707010671349,2021,,
Pasco,Mar,1.1196056275870465,2021,,
Piura,Mar,2.7158811475409834,2021,,
Puno,Mar,2.4505208333333335,2021,,
San Martín,Mar,1.1841071428571428,2021,,
Tacna,Mar,6.0,2021,,
Tumbes,Mar,0.0,2021,,
Ucayali,Mar,0.7576352998537301,2021,,
Amazonas,Abr,1.5712872738906143,2021,,
Áncash,Abr,3.463767653395037,2021,,
Apurímac,Abr,2.9528374726547413,2021,,
Arequipa,Abr,4.044478091725972,2021,,
Ayacucho,Abr,5.471307786717578,2021,,
Cajamarca,Abr,2.1580909943714826,2021,,
Callao,Abr,0.0,2021,,
Cusco,Abr,4.160550458715596,2021,,
Huancavelica,Abr,4.556736411254545,2021,,
Huánuco,Abr,2.4808985507246377,2021,,
Ica,Abr,6.053499438121686,2021,,
Junín,Abr,1.10910074286459,2021,,
La Libertad,Abr,3.5448930220256782,2021,,
Lambayeque,Abr,4.49069175188534,2021,,
Lima,Abr,3.616558865913738,2021,,
Lima Metropolitana,Abr,2.6119327073552423,2021,,
Loreto,Abr,0.4843445692883895,2021,,
higore de Dios,Abr,0.0,2021,,
Moquegua,Abr,4.6808117030965395,2021,,
Pasco,Abr,1.6976442428451115,2021,,
Piura,Abr,2.5929865125240847,2021,,
Puno,Abr,2.4155709342560554,2021,,
San Martín,Abr,1.506060606060606,2021,,
Tacna,Abr,0.0,2021,,
Tumbes,Abr,0.0,2021,,
Ucayali,Abr,0.7536063819391314,2021,,
Amazonas,May,1.7309966825328142,2021,,
Áncash,May,3.4243109540636043,2021,,
Apurímac,May,3.3288093255620317,2021,,
Arequipa,May,4.002127322720414,2021,,
Ayacucho,May,3.92365252293578,2021,,
Cajamarca,May,2.207410106899903,2021,,
Callao,May,0.0,2021,,
Cusco,May,1.5191802103250478,2021,,
Huancavelica,May,4.50072901168969,2021,,
Huánuco,May,2.8569402985074617,2021,,
Ica,May,5.43982180590903,2021,,
Junín,May,1.2407947869440357,2021,,
La Libertad,May,3.727090376080178,2021,,
Lambayeque,May,4.46436575204712,2021,,
Lima,May,3.6784243847646274,2021,,
Lima Metropolitana,May,2.5840843023255817,2021,,
Loreto,May,0.4777248677248678,2021,,
higore de Dios,May,0.0,2021,,
Moquegua,May,4.582984197800295,2021,,
Pasco,May,2.2259784301962284,2021,,
Piura,May,2.4481386392811295,2021,,
Puno,May,0.0,2021,,
San Martín,May,3.19,2021,,
Tacna,May,4.833333333333333,2021,,
Tumbes,May,0.0,2021,,
Ucayali,May,0.739807744609456,2021,,
