Región,meses,cosecha,year,produccion,rendimiento
Áncash,Set,0.0,2022,,
Apurímac,Set,0.0,2022,,
Arequipa,Set,0.0,2022,,
Ayacucho,Set,16.0,2022,,
Cajamarca,Set,14.644431436080994,2022,,
Callao,Set,0.0,2022,,
Cusco,Set,14.0,2022,,
Huancavelica,Set,0.0,2022,,
Huánuco,Set,12.882573057733428,2022,,
Ica,Set,0.0,2022,,
Junín,Set,12.698901098901096,2022,,
La Libertad,Set,0.0,2022,,
Lambayeque,Set,17.5,2022,,
Lima,Set,0.0,2022,,
Lima Metropolitana,Set,0.0,2022,,
Loreto,Set,2.786842105263158,2022,,
cafere de Dios,Set,0.0,2022,,
Moquegua,Set,0.0,2022,,
Pasco,Set,0.0,2022,,
Piura,Set,10.0,2022,,
Puno,Set,0.0,2022,,
San Martín,Set,15.127565392354125,2022,,
Tacna,Set,0.0,2022,,
Tumbes,Set,0.0,2022,,
Ucayali,Set,7.917158694313283,2022,,
Amazonas,Oct,14.702651140389849,2022,,
Áncash,Oct,0.0,2022,,
Apurímac,Oct,0.0,2022,,
Arequipa,Oct,0.0,2022,,
Ayacucho,Oct,16.0,2022,,
Cajamarca,Oct,13.306720626081459,2022,,
Callao,Oct,0.0,2022,,
Cusco,Oct,0.0,2022,,
Huancavelica,Oct,0.0,2022,,
Huánuco,Oct,13.755395683453239,2022,,
Ica,Oct,0.0,2022,,
Junín,Oct,0.0,2022,,
La Libertad,Oct,0.0,2022,,
Lambayeque,Oct,17.5,2022,,
Lima,Oct,0.0,2022,,
Lima Metropolitana,Oct,0.0,2022,,
Loreto,Oct,2.6375,2022,,
cafere de Dios,Oct,0.0,2022,,
Moquegua,Oct,0.0,2022,,
Pasco,Oct,0.0,2022,,
Piura,Oct,6.0,2022,,
Puno,Oct,0.0,2022,,
San Martín,Oct,11.892234548335974,2022,,
Tacna,Oct,0.0,2022,,
Tumbes,Oct,0.0,2022,,
Ucayali,Oct,10.0,2022,,
Amazonas,Nov,14.8782722513089,2022,,
Áncash,Nov,0.0,2022,,
Apurímac,Nov,0.0,2022,,
Arequipa,Nov,0.0,2022,,
Ayacucho,Nov,16.0,2022,,
Cajamarca,Nov,8.5,2022,,
Callao,Nov,0.0,2022,,
Cusco,Nov,0.0,2022,,
Huancavelica,Nov,0.0,2022,,
Huánuco,Nov,13.87171717171717,2022,,
Ica,Nov,0.0,2022,,
Junín,Nov,0.0,2022,,
La Libertad,Nov,0.0,2022,,
Lambayeque,Nov,12.0,2022,,
Lima,Nov,0.0,2022,,
Lima Metropolitana,Nov,0.0,2022,,
Loreto,Nov,2.702228116710875,2022,,
cafere de Dios,Nov,0.0,2022,,
Moquegua,Nov,0.0,2022,,
Pasco,Nov,0.0,2022,,
Piura,Nov,6.0,2022,,
Puno,Nov,0.0,2022,,
San Martín,Nov,11.672240802675585,2022,,
Tacna,Nov,0.0,2022,,
Tumbes,Nov,0.0,2022,,
Ucayali,Nov,0.0,2022,,
Amazonas,Dic,18.0,2022,,
Áncash,Dic,0.0,2022,,
Apurímac,Dic,0.0,2022,,
Arequipa,Dic,0.0,2022,,
Ayacucho,Dic,15.01129943502825,2022,,
Cajamarca,Dic,9.0,2022,,
Callao,Dic,0.0,2022,,
Cusco,Dic,0.0,2022,,
Huancavelica,Dic,0.0,2022,,
Huánuco,Dic,13.311940298507462,2022,,
Ica,Dic,0.0,2022,,
Junín,Dic,0.0,2022,,
La Libertad,Dic,0.0,2022,,
Lambayeque,Dic,11.85298452468681,2022,,
Lima,Dic,0.0,2022,,
