Región,meses,cosecha,produccion,rendimiento,precio,year
Junín,Jul,1626.0,27666.0,17014.760147601475,0.7851280994722767,2021
La Libertad,Jul,1144.5,25739.6,22489.820882481432,0.9834239848327094,2021
Lambayeque,Jul,0.0,0.0,0.0,0.0,2021
Lima,Jul,110.0,2233.8,20307.272727272728,1.0751007252215956,2021
Lima Metropolitana,Jul,0.0,0.0,0.0,0.0,2021
Loreto,Jul,0.0,0.0,0.0,0.0,2021
papare de Dios,Jul,0.0,0.0,0.0,0.0,2021
Moquegua,Jul,0.0,0.0,0.0,0.0,2021
Pasco,Jul,753.0,16836.2,22358.831341301462,1.0210418027821004,2021
Piura,Jul,339.0,3802.0,11215.339233038349,0.8259863229879012,2021
Puno,Jul,0.0,0.0,0.0,0.0,2021
San Martín,Jul,0.0,0.0,0.0,0.0,2021
Tacna,Jul,21.0,435.0,20714.285714285714,1.530344827586207,2021
Tumbes,Jul,0.0,0.0,0.0,0.0,2021
Ucayali,Jul,0.0,0.0,0.0,0.0,2021
Amazonas,Ago,647.0,11217.2,17337.24884080371,1.3612568198837502,2021
Áncash,Ago,4.0,51.0,12750.0,1.0,2021
Apurímac,Ago,586.5,11378.0,19399.8294970162,1.0219194937598874,2021
Arequipa,Ago,672.0,24412.349,36327.900297619046,0.9897087658381419,2021
Ayacucho,Ago,9.0,135.0,15000.0,1.1222222222222222,2021
Cajamarca,Ago,1080.5,17072.05,15800.138824618232,1.0051205332692912,2021
Callao,Ago,0.0,0.0,0.0,0.0,2021
Cusco,Ago,21.0,378.0,18000.0,1.2,2021
Huancavelica,Ago,460.0,6515.1,14163.260869565218,1.102793510460315,2021
Huánuco,Ago,873.0,19881.0,22773.19587628866,0.9002696041446606,2021
Ica,Ago,1622.0,56342.92,34736.69543773119,1.0874445839867726,2021
Junín,Ago,224.0,4852.4,21662.499999999996,0.6836841562937929,2021
La Libertad,Ago,216.0,4890.0,22638.88888888889,1.0491595092024542,2021
Lambayeque,Ago,0.0,0.0,0.0,0.0,2021
Lima,Ago,320.0,9819.1,30684.687500000004,1.000631422431791,2021
Lima Metropolitana,Ago,1.0,28.27,28270.0,0.55,2021
Loreto,Ago,0.0,0.0,0.0,0.0,2021
papare de Dios,Ago,0.0,0.0,0.0,0.0,2021
Moquegua,Ago,0.0,0.0,0.0,0.0,2021
Pasco,Ago,217.0,5149.2,23729.032258064515,0.7967907636137653,2021
Piura,Ago,454.0,6348.0,13982.378854625551,0.790883742911153,2021
Puno,Ago,0.0,0.0,0.0,0.0,2021
San Martín,Ago,0.0,0.0,0.0,0.0,2021
Tacna,Ago,20.0,405.0,20250.0,1.5772839506172838,2021
Tumbes,Ago,0.0,0.0,0.0,0.0,2021
Ucayali,Ago,0.0,0.0,0.0,0.0,2021
Amazonas,Set,540.0,9337.799999999997,17292.22222222222,1.4225877615712474,2021
Áncash,Set,61.0,817.5,13401.639344262294,0.9072782874617737,2021
Apurímac,Set,37.0,810.0,21891.89189189189,0.9641975308641976,2021
Arequipa,Set,1614.0,59143.266,36643.907063197024,0.927769088707411,2021
Ayacucho,Set,17.0,225.0,13235.294117647058,1.3456,2021
Cajamarca,Set,1841.3,26701.935,14501.675446695272,1.1461195677391915,2021
Callao,Set,0.0,0.0,0.0,0.0,2021
Cusco,Set,0.0,0.0,0.0,0.0,2021
Huancavelica,Set,251.0,4230.65,16855.179282868525,1.0196352806306364,2021
Huánuco,Set,1833.5,43411.0,23676.574856831197,0.8757418626615374,2021
Ica,Set,943.0,33209.1,35216.436903499474,0.860501910620884,2021
Junín,Set,91.0,1618.8000000000002,17789.01098901099,0.7562101556708675,2021
La Libertad,Set,291.0,6412.0,22034.364261168386,1.0440174672489086,2021
Lambayeque,Set,0.0,0.0,0.0,0.0,2021
Lima,Set,543.0,17591.2,32396.3167587477,0.9274034744645049,2021
Lima Metropolitana,Set,13.0,375.10900000000004,28854.538461538465,0.4120749968675771,2021
Loreto,Set,0.0,0.0,0.0,0.0,2021
papare de Dios,Set,0.0,0.0,0.0,0.0,2021
Moquegua,Set,0.0,0.0,0.0,0.0,2021
Pasco,Set,118.0,2710.5,22970.33898305085,0.5579007563180225,2021
Piura,Set,298.0,2953.0,9909.395973154362,0.7653471046393499,2021
Puno,Set,0.0,0.0,0.0,0.0,2021
San Martín,Set,0.0,0.0,0.0,0.0,2021
Tacna,Set,25.0,506.0,20240.0,1.642885375494071,2021
Tumbes,Set,0.0,0.0,0.0,0.0,2021
Ucayali,Set,0.0,0.0,0.0,0.0,2021
Amazonas,Oct,235.0,4062.0000000000005,17285.106382978724,1.4477252584933529,2021
Áncash,Oct,86.0,1149.5,13366.279069767443,0.9593736407133537,2021
Apurímac,Oct,51.0,1108.0,21725.490196078434,0.6823104693140795,2021
Arequipa,Oct,1592.0,54527.18099999999,34250.74183417085,0.6310132702440641,2021
Ayacucho,Oct,129.0,1975.0,15310.077519379845,1.2771392405063293,2021
Cajamarca,Oct,1544.25,23045.936000000005,14923.707948842484,1.2786189894825704,2021
Callao,Oct,0.0,0.0,0.0,0.0,2021
Cusco,Oct,6.0,90.0,15000.0,1.2,2021
Huancavelica,Oct,649.0,11732.0,18077.04160246533,0.6598184452778725,2021
Huánuco,Oct,3844.0,85725.4,22301.09261186264,0.8522769797516256,2021
Ica,Oct,230.0,7784.9,33847.391304347824,0.8638954899870263,2021
Junín,Oct,174.0,3241.6,18629.885057471263,0.7761691757156959,2021
La Libertad,Oct,892.0,20039.5,22465.807174887894,1.2381845854437485,2021
Lambayeque,Oct,80.0,452.0,5650.0,1.0,2021
Lima,Oct,800.0,25933.6,32417.0,0.8149450905389147,2021
Lima Metropolitana,Oct,20.0,572.21,28610.5,0.46244735324443814,2021
Loreto,Oct,0.0,0.0,0.0,0.0,2021
papare de Dios,Oct,0.0,0.0,0.0,0.0,2021
Moquegua,Oct,2.0,54.74,27370.0,0.73,2021
Pasco,Oct,82.0,1878.0,22902.439024390245,0.6973242811501598,2021
Piura,Oct,188.0,1899.0,10101.063829787234,0.8699104791995788,2021
Puno,Oct,0.0,0.0,0.0,0.0,2021
San Martín,Oct,0.0,0.0,0.0,0.0,2021
Tacna,Oct,17.0,332.0,19529.411764705885,1.7367469879518074,2021
Tumbes,Oct,0.0,0.0,0.0,0.0,2021
Ucayali,Oct,0.0,0.0,0.0,0.0,2021
Amazonas,Nov,54.0,909.6000000000001,16844.44444444445,1.3123350923482846,2021
Áncash,Nov,206.0,2656.0,12893.203883495145,1.097816265060241,2021
Apurímac,Nov,61.0,1054.0,17278.68852459016,1.452561669829222,2021
Arequipa,Nov,881.0,32352.269,36722.212258796826,0.6630078836201566,2021
Ayacucho,Nov,165.0,2561.0,15521.212121212122,1.1361967981257322,2021
Cajamarca,Nov,2078.4,24689.279999999995,11878.983833718243,1.1769296634004718,2021
Callao,Nov,0.0,0.0,0.0,0.0,2021
Cusco,Nov,50.0,561.5,11230.0,1.0418076580587712,2021
Huancavelica,Nov,654.0,9719.6,14861.773700305812,0.9217647845590354,2021
Huánuco,Nov,5613.5,115396.6,20556.97871203349,0.869775937939246,2021
Ica,Nov,31.5,1030.12,32702.22222222222,0.538259620238419,2021
Junín,Nov,338.0,6241.000000000001,18464.49704142012,0.8817112642204773,2021
La Libertad,Nov,1518.0,35188.6,23180.895915678524,1.176838066873931,2021
Lambayeque,Nov,130.0,766.0,5892.307692307692,0.98,2021
Lima,Nov,709.0,23627.1,33324.54160789845,0.7971672359282351,2021
Lima Metropolitana,Nov,4.0,122.0,30500.0,0.55,2021
Loreto,Nov,0.0,0.0,0.0,0.0,2021
