Región,Año,Cultivo,rendimiento,siembras,cosecha,precio,produccion
Junín,2021,Apio,17183.495145631066,114.0,103.0,0.8297361432849314,1769.9
La Libertad,2021,Apio,25295.97315436242,150.0,149.0,1.5233819744766652,3769.1
Lambayeque,2021,Apio,0.0,0.0,0.0,0.0,0.0
Lima,2021,Apio,10573.369005968309,518.9,485.9,1.088254827156649,5137.6
Lima Metropolitana,2021,Apio,24529.780722891566,406.0,415.0,0.7442358926582382,10179.859
Loreto,2021,Apio,0.0,0.0,0.0,0.0,0.0
Madre de Dios,2021,Apio,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Apio,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Apio,0.0,0.0,0.0,0.0,0.0
Piura,2021,Apio,0.0,0.0,0.0,0.0,0.0
Puno,2021,Apio,0.0,0.0,0.0,0.0,0.0
San Martín,2021,Apio,0.0,0.0,0.0,0.0,0.0
Tacna,2021,Apio,21587.71929824561,110.0,114.0,0.9996342950020316,2461.0
Tumbes,2021,Apio,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Apio,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Arracacha,8953.186878727633,906,1006.0,1.290511525267389,9006.905999999999
Áncash,2021,Arracacha,0.0,0,0.0,0.0,0.0
Apurímac,2021,Arracacha,0.0,0,0.0,0.0,0.0
Arequipa,2021,Arracacha,0.0,0,0.0,0.0,0.0
Ayacucho,2021,Arracacha,0.0,0,0.0,0.0,0.0
Cajamarca,2021,Arracacha,5613.137646764927,1923,2001.5,1.2203386384766115,11234.695000000002
Callao,2021,Arracacha,0.0,0,0.0,0.0,0.0
Cusco,2021,Arracacha,0.0,0,0.0,0.0,0.0
Huancavelica,2021,Arracacha,0.0,0,0.0,0.0,0.0
Huánuco,2021,Arracacha,0.0,0,0.0,0.0,0.0
Ica,2021,Arracacha,0.0,0,0.0,0.0,0.0
Junín,2021,Arracacha,0.0,0,0.0,0.0,0.0
La Libertad,2021,Arracacha,0.0,0,0.0,0.0,0.0
Lambayeque,2021,Arracacha,0.0,0,0.0,0.0,0.0
Lima,2021,Arracacha,0.0,0,0.0,0.0,0.0
Lima Metropolitana,2021,Arracacha,0.0,0,0.0,0.0,0.0
Loreto,2021,Arracacha,0.0,0,0.0,0.0,0.0
Madre de Dios,2021,Arracacha,0.0,0,0.0,0.0,0.0
Moquegua,2021,Arracacha,8494.285714285714,8,7.0,3.084273461150353,59.46
Pasco,2021,Arracacha,0.0,0,0.0,0.0,0.0
Piura,2021,Arracacha,0.0,0,0.0,0.0,0.0
Puno,2021,Arracacha,10548.529411764704,68,68.0,0.9114038756447792,717.3
San Martín,2021,Arracacha,0.0,0,0.0,0.0,0.0
Tacna,2021,Arracacha,0.0,0,0.0,0.0,0.0
Tumbes,2021,Arracacha,0.0,0,0.0,0.0,0.0
Ucayali,2021,Arracacha,0.0,0,0.0,0.0,0.0
Amazonas,2021,Arroz cáscara,9042.8360888125,53019.0,49803.8,1.142031549338807,450367.6
